grupo,rol,propuesta,titulo,handle,sku_legacy,ids_actuales,padre,variantes_grupo,aviso
G01,SUPERVIVIENTE,DECIDE TÚ,Blue Chisel Carve Tower Award,p-5478-blue-chisel-carve-tower-award,PS6160,C701LBL,C609LB C610LB C612LB C701BL C701L,20,sin stock
G01,ABSORBIDO,,Gold Chisel Carve Tower Award,p-5882-gold-chisel-carve-tower-award,PS6564,C701LGO,C609LB C610LB C612LB C701BL C701L,20,sin stock
G01,ABSORBIDO,,Green Chisel Carve Tower Award,p-5909-green-chisel-carve-tower-award,PS6591,C701LGR,C609LB C610LB C612LB C701BL C701L,20,sin stock
G01,ABSORBIDO,,Purple Chisel Carve Tower Award,p-8147-purple-chisel-carve-tower-award,PS9309,C701LPU,C609LB C610LB C612LB C701BL C701L,20,sin stock
G01,ABSORBIDO,,Teal Chisel Carve Tower Award,p-8891-teal-chisel-carve-tower-award,PS11425,C701LTE,C609LB C610LB C612LB C701BL C701L,20,sin stock
G01,ABSORBIDO,,Gold Spectrum Chisel Carved Tower Award,p-5897-gold-spectrum-chisel-carved-tower-award,PS6579,C612LGO,C609LB C610LB C612LB C701BL C701L,20,sin stock
G01,ABSORBIDO,,Red Spectrum Chisel Carved Tower Award,p-6208-red-spectrum-chisel-carved-tower-award,PS6890,C701LRE,C609LB C610LB C612LB C701BL C701L,20,sin stock
G01,ABSORBIDO,,Blue Spectrum Chisel Carved Tower Small,p-8719-blue-spectrum-chisel-carved-tower-small,PS10106,C612LBL,C609LB C610LB C612LB C701BL C701L,20,sin stock
G01,ABSORBIDO,,Black Chisel Carve Tower Award on Base,p-5430-black-chisel-carve-tower-award-on-base,PS6112,C701LBK C701BLBK,C609LB C610LB C612LB C701BL C701L,20,sin stock
G01,ABSORBIDO,,Blue Chisel Carved Tower Award On Base,p-5479-blue-chisel-carved-tower-award-on-base,PS6161,C609LBBL C610LBBL C701BLBL C612LBBL,C609LB C610LB C612LB C701BL C701L,20,sin stock
G01,ABSORBIDO,,Gold Chisel Carved Tower on Base Award,p-5883-gold-chisel-carved-tower-on-base-award,PS6565,C610LBGO C701BLGO C612LBGO,C609LB C610LB C612LB C701BL C701L,20,sin stock
G01,ABSORBIDO,,Green Chisel Carve Tower Award on Base,p-5908-green-chisel-carve-tower-award-on-base,PS6590,C701BLGR,C609LB C610LB C612LB C701BL C701L,20,sin stock
G01,ABSORBIDO,,Purple Chisel Carve Tower Award on Base,p-6182-purple-chisel-carve-tower-award-on-base,PS6864,C701BLPU,C609LB C610LB C612LB C701BL C701L,20,sin stock
G01,ABSORBIDO,,Red Chisel Carve Tower Award on Base,p-6196-red-chisel-carve-tower-award-on-base,PS6878,C701BLRE,C609LB C610LB C612LB C701BL C701L,20,sin stock
G01,ABSORBIDO,,Gold Chisel Carved Tower On Base Large,p-8760-gold-chisel-carved-tower-on-base-large,PS10703,C609LBGO,C609LB C610LB C612LB C701BL C701L,20,sin stock
G01,ABSORBIDO,,Teal Chisel Carve Tower Award on Base,p-8890-teal-chisel-carve-tower-award-on-base,PS11424,C701BLTE,C609LB C610LB C612LB C701BL C701L,20,sin stock
G02,SUPERVIVIENTE,DECIDE TÚ,Red Marble Florentine Plate on Ebony Board,p-8156-red-marble-florentine-plate-on-ebony-board,PS9339,CD414AREF CD414BREF,CD414*,12,SIN PRECIO: no importable
G02,ABSORBIDO,,Blue Marble Florentine Plate on Ebony Board,p-8718-blue-marble-florentine-plate-on-ebony-board,PS10096,CD414ABEF,CD414*,12,SIN PRECIO: no importable
G02,ABSORBIDO,,Green Marble Florentine Plate on Ebony Board,p-8766-green-marble-florentine-plate-on-ebony-board,PS10766,CD414AGREF CD414BGREF,CD414*,12,SIN PRECIO: no importable
G02,ABSORBIDO,,Blue Marble Florentine Plate on Ebony Finish Board,p-7896-blue-marble-florentine-plate-on-ebony-finish-board,PS8278,CD414BBEF,CD414*,12,SIN PRECIO: no importable
G02,ABSORBIDO,,Green Marble Florentine Plate on Walnut Finish Board,p-8767-green-marble-florentine-plate-on-walnut-finish-board,PS10767,CD414AGRWF CD414BGRWF,CD414*,12,SIN PRECIO: no importable
G02,ABSORBIDO,,Red Marble Florentine Plate on Walnut Finish Board,p-8858-red-marble-florentine-plate-on-walnut-finish-board,PS11238,CD414ARWF CD414BRWF,CD414*,12,SIN PRECIO: no importable
G03,SUPERVIVIENTE,DECIDE TÚ,Walnut Finish Plaque with Black Florentine,p-8219-walnut-finish-plaque-with-black-florentine,PS9563,C071ASWF,C071A C071B,8,sin stock
G03,ABSORBIDO,,Walnut Finish Plaque with Black Florentine,p-8898-walnut-finish-plaque-with-black-florentine,PS11512,C071BSWF,C071A C071B,8,sin stock
G03,ABSORBIDO,,Florentine Edge Plate on Ebony Board Medium,p-5734-florentine-edge-plate-on-ebony-board-medium,PS6416,C071ASEF,C071A C071B,8,sin stock
G03,ABSORBIDO,,Florentine Gold Edge Plate on Ebony Board,p-5737-florentine-gold-edge-plate-on-ebony-board,PS6419,C071AGOEF,C071A C071B,8,sin stock
G03,ABSORBIDO,,Walnut Finish Plaque with Black Florentine Plate,p-6329-walnut-finish-plaque-with-black-florentine-plate,PS7011,C071AGOWF C071BGOWF,C071A C071B,8,sin stock
G03,ABSORBIDO,,Florentine Gold Edge Plate on Ebony Board Large,p-5736-florentine-gold-edge-plate-on-ebony-board-large,PS6418,C071BGOEF,C071A C071B,8,sin stock
G04,SUPERVIVIENTE,DECIDE TÚ,7-Piece Black/Silver Leatherette Manicure Gift Set,p-8696-7-piece-blacksilver-leatherette-manicure-gift-set,PS9786,CM293BS,CM293,6,sin stock
G04,ABSORBIDO,,7-Piece Pink Leatherette Manicure Gift Set,p-8699-7-piece-pink-leatherette-manicure-gift-set,PS9790,CM293PK,CM293,6,sin stock
G04,ABSORBIDO,,7-Piece Rawhide Leatherette Manicure Gift Set,p-8700-7-piece-rawhide-leatherette-manicure-gift-set,PS9791,CM293RW,CM293,6,sin stock
G04,ABSORBIDO,,7-Piece Dark Brown Leatherette Manicure Gift Set,p-8697-7-piece-dark-brown-leatherette-manicure-gift-set,PS9787,CM293DB,CM293,6,sin stock
G04,ABSORBIDO,,7-Piece Light Brown Leatherette Manicure Gift Set,p-8698-7-piece-light-brown-leatherette-manicure-gift-set,PS9789,CM293LB,CM293,6,sin stock
G05,SUPERVIVIENTE,DECIDE TÚ,Ebony Finish Certificate/Overlay Plaque,p-5708-ebony-finish-certificateoverlay-plaque,PS6390,C3501AEBG C3501BEBG C3501CEBG,C3501A C3501B C3501C,12,sin stock
G05,ABSORBIDO,,Genuine Walnut Certificate Plaque,p-5869-genuine-walnut-certificate-plaque,PS6551,C3501AWG,C3501A C3501B C3501C,12,sin stock
G05,ABSORBIDO,,Walnut Finish Certificate/Overlay Plaque in Gift Box,p-6324-walnut-finish-certificateoverlay-plaque-in-gift-box,PS7006,C3501AWNG C3501BWNG C3501CWNG,C3501A C3501B C3501C,12,sin stock
G05,ABSORBIDO,,Walnut Finish Certificate/Overlay Plaque in Mailer Box,p-6325-walnut-finish-certificateoverlay-plaque-in-mailer-box,PS7007,C3501AWNM C3501BWNM C3501CWNM C3501AWM C3501BWM,C3501A C3501B C3501C,12,sin stock
G06,SUPERVIVIENTE,DECIDE TÚ,Anniversary Freestanding 1 Year Award,p-7628-anniversary-freestanding-1-year-award,PS6059-1,CD904Y1,CD904AY*,5,sin stock
G06,ABSORBIDO,,Anniversary Freestanding 3 Year Award,p-7627-anniversary-freestanding-3-year-award,PS6059-3,CD904Y3,CD904AY*,5,sin stock
G06,ABSORBIDO,,Anniversary Freestanding 5 Year Award,p-5377-anniversary-freestanding-5-year-award,PS6059,CD904Y5,CD904AY*,5,sin stock
G07,SUPERVIVIENTE,DECIDE TÚ,Blue Acrylic Color Drops Award,p-7888-blue-acrylic-color-drops-award,PS8232,CD1101AB CD1101BB CD1101CB,CD1101A CD1101B CD1101C,9,sin stock
G07,ABSORBIDO,,Green Acrylic Color Drops Award,p-8061-green-acrylic-color-drops-award,PS8805,CD1101AG CD1101BG CD1101CG,CD1101A CD1101B CD1101C,9,sin stock
G07,ABSORBIDO,,Red Acrylic Color Drops Award,p-8153-red-acrylic-color-drops-award,PS9325,CD1101AR CD1101BR,CD1101A CD1101B CD1101C,9,sin stock
G08,SUPERVIVIENTE,DECIDE TÚ,Cork Round Coaster,p-5623-cork-round-coaster,PS6305,CM240CK,CM240*,12,
G08,ABSORBIDO,,Leatherette Round Coaster,p-8098-leatherette-round-coaster,PS9099,CM240BB CM240BV CM240WM,CM240*,12,
G08,ABSORBIDO,,Leatherette Round Coaster,p-8817-leatherette-round-coaster,PS10936,CM240BS CM240DB CM240GR CM240LB CM240PK CM240RS CM240RW CM240TL,CM240*,12,
G09,SUPERVIVIENTE,DECIDE TÚ,Ebony Finish Plaque with Marble Mist Small,p-5712-ebony-finish-plaque-with-marble-mist-small,PS6394,C021BBEF C021BGEF C021BREF,C021A C021B,12,sin stock
G09,ABSORBIDO,,Ebony Finish Plaque with Marble Mist Large,p-5713-ebony-finish-plaque-with-marble-mist-large,PS6395,C021ABEF C021AGEF C021AREF,C021A C021B,12,sin stock
G09,ABSORBIDO,,Walnut Finish Plaque with Marble Mist Plate,p-8899-walnut-finish-plaque-with-marble-mist-plate,PS11513,C021ABWF C021AGWF C021ARWF C021BBWF C021BGWF C021BRWF,C021A C021B,12,sin stock
G10,SUPERVIVIENTE,DECIDE TÚ,Leatherette Money Clip Large,p-8088-leatherette-money-clip-large,PS9014,CM455BV,CM455,7,sin stock
G10,ABSORBIDO,,Leatherette Money Clip Small,p-8799-leatherette-money-clip-small,PS10894,CM455BS,CM455,7,sin stock
G10,ABSORBIDO,,Leatherette Money Clip Large,p-8800-leatherette-money-clip-large,PS10897,CM455DB CM455GR CM455LB CM455RW,CM455,7,sin stock
G11,SUPERVIVIENTE,DECIDE TÚ,Red Cascade Carved Acrylic Award,p-8154-red-cascade-carved-acrylic-award,PS9330,CD1217RD,CD1217,3,SIN PRECIO: no importable
G11,ABSORBIDO,,Blue Cascade Carved Acrylic Award,p-8714-blue-cascade-carved-acrylic-award,PS10062,CD1217BL,CD1217,3,SIN PRECIO: no importable
G12,SUPERVIVIENTE,DECIDE TÚ,Blue Optic Crystal Gemstone Award,p-5509-blue-optic-crystal-gemstone-award,PS6191,GI513AB GI513BB GI513CB,GI513A GI513B GI513C,6,sin stock
G12,ABSORBIDO,,Green Optic Crystal Gemstone Award,p-8768-green-optic-crystal-gemstone-award,PS10768,GI513AGR GI513BGR GI513CGR,GI513A GI513B GI513C,6,sin stock
