estado;titulo;sku_legacy;handle;ps_product_ids;ids_vivos;que_hace_falta;tamano;admin
ESPERA_CODIGO;Alabama State Silhouette Awards;PS6488;p-5806-alabama-state-silhouette-awards;CD900AL;CD900AL;la unión alcanzaría ids de otro producto (CD900*);;https://admin.shopify.com/store/trophy-partner/products?query=PS6488
ESPERA_CODIGO;Alaska State Silhouette Awards;PS6487;p-5805-alaska-state-silhouette-awards;CD900AK;CD900AK;la unión alcanzaría ids de otro producto (CD900*);;https://admin.shopify.com/store/trophy-partner/products?query=PS6487
ESPERA_CODIGO;Arizona State Silhouette Awards;PS6490;p-5808-arizona-state-silhouette-awards;CD900AZ;CD900AZ;la unión alcanzaría ids de otro producto (CD900*);;https://admin.shopify.com/store/trophy-partner/products?query=PS6490
ESPERA_CODIGO;Arkansas State Silhouette Awards;PS6489;p-5807-arkansas-state-silhouette-awards;CD900AR;CD900AR;la unión alcanzaría ids de otro producto (CD900*);;https://admin.shopify.com/store/trophy-partner/products?query=PS6489
ESPERA_CODIGO;Blue  Accent Clear Center Crystal;PS10044;p-8712-blue-accent-clear-center-crystal;GM809ABL GM809BBL GM809CBL;GM809ABL GM809BBL GM809CBL;la unión alcanzaría ids de otro producto (GM809A* GM809B* GM809C*);;https://admin.shopify.com/store/trophy-partner/products?query=PS10044
ESPERA_CODIGO;Blue Diamond Carve Lucite Octagon Plaque;PS10084;p-8715-blue-diamond-carve-lucite-octagon-plaque;C1407LB;C1407LB;la unión alcanzaría ids de otro producto (C1407L*);;https://admin.shopify.com/store/trophy-partner/products?query=PS10084
ESPERA_CODIGO;California State Silhouette Awards;PS6491;p-5809-california-state-silhouette-awards;CD900CA;CD900CA;la unión alcanzaría ids de otro producto (CD900*);;https://admin.shopify.com/store/trophy-partner/products?query=PS6491
ESPERA_CODIGO;Carved Clear Crystal on Black Base with Compass Medallion;PS6228;p-5546-carved-clear-crystal-on-black-base-with-compass-medallion;GI583M;GI583M;la unión alcanzaría ids de otro producto (GI583M);;https://admin.shopify.com/store/trophy-partner/products?query=PS6228
ESPERA_CODIGO;Choice of Digi Medium;PS8349;p-7912-choice-of-digi-medium;DCC3001CEB;DCC3001CEB;la unión alcanzaría ids de otro producto (DCC3001C*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8349
ESPERA_CODIGO;Clear and Black Crescent Curved Glass Award Trophy;PS6999;p-6317-clear-and-black-crescent-curved-glass-award-trophy;GI586BK;GI586BK;la unión alcanzaría ids de otro producto (GI586*);;https://admin.shopify.com/store/trophy-partner/products?query=PS6999
ESPERA_CODIGO;Clear Star Power Sculptured Lucite Award;PS6292;p-5610-clear-star-power-sculptured-lucite-award;CA21AXC CA21BXC;CA21AXC CA21BXC;la unión alcanzaría ids de otro producto (CA21AX* CA21BX*);;https://admin.shopify.com/store/trophy-partner/products?query=PS6292
ESPERA_CODIGO;Clear Star Power Sculptured Lucite Large;PS6291;p-5609-clear-star-power-sculptured-lucite-large;CA21CXC;CA21CXC;la unión alcanzaría ids de otro producto (CA21CX*);;https://admin.shopify.com/store/trophy-partner/products?query=PS6291
ESPERA_CODIGO;Colorado State Silhouette Awards;PS6492;p-5810-colorado-state-silhouette-awards;CD900CO;CD900CO;la unión alcanzaría ids de otro producto (CD900*);;https://admin.shopify.com/store/trophy-partner/products?query=PS6492
ESPERA_CODIGO;Connecticut State Silhouette Awards;PS6493;p-5811-connecticut-state-silhouette-awards;CD900CT;CD900CT;la unión alcanzaría ids de otro producto (CD900*);;https://admin.shopify.com/store/trophy-partner/products?query=PS6493
ESPERA_CODIGO;Cork Beverage Holder;PS6299;p-5617-cork-beverage-holder;CM289CK;CM289CK;la unión alcanzaría ids de otro producto (CM289*);;https://admin.shopify.com/store/trophy-partner/products?query=PS6299
ESPERA_CODIGO;Cork Flask;PS6302;p-5620-cork-flask;CM286CK;CM286CK;la unión alcanzaría ids de otro producto (CM286*);;https://admin.shopify.com/store/trophy-partner/products?query=PS6302
ESPERA_CODIGO;Deco Clear Glass with Black Glass Accents;PS6363;p-5681-deco-clear-glass-with-black-glass-accents;GI602BK;GI602BK;la unión alcanzaría ids de otro producto (GI602*);;https://admin.shopify.com/store/trophy-partner/products?query=PS6363
ESPERA_CODIGO;Deco Clear Glass with Blue Glass Accents;PS10408;p-8750-deco-clear-glass-with-blue-glass-accents;GI602BL;GI602BL;la unión alcanzaría ids de otro producto (GI602*);;https://admin.shopify.com/store/trophy-partner/products?query=PS10408
ESPERA_CODIGO;Delaware State Silhouette Awards;PS6494;p-5812-delaware-state-silhouette-awards;CD900DE;CD900DE;la unión alcanzaría ids de otro producto (CD900*);;https://admin.shopify.com/store/trophy-partner/products?query=PS6494
ESPERA_CODIGO;Florida State Silhouette Awards;PS6495;p-5813-florida-state-silhouette-awards;CD900FL;CD900FL;la unión alcanzaría ids de otro producto (CD900*);;https://admin.shopify.com/store/trophy-partner/products?query=PS6495
ESPERA_CODIGO;Freestanding Lucite Block;PS6435;p-5753-freestanding-lucite-block;CD549B C0812A CD549C C0813A C0812B C0813B C0812C;C0813A C0813B;la unión alcanzaría ids de otro producto (C0813A C0813B);;https://admin.shopify.com/store/trophy-partner/products?query=PS6435
ESPERA_CODIGO;Frosted Acrylic AK State Cutout on Black Plaque;PS8630;p-7997-frosted-acrylic-ak-state-cutout-on-black-plaque;CD953AK;CD953AK;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8630
ESPERA_CODIGO;Frosted Acrylic AL State Cutout on Black Plaque;PS8631;p-7998-frosted-acrylic-al-state-cutout-on-black-plaque;CD953AL;CD953AL;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8631
ESPERA_CODIGO;Frosted Acrylic AR State Cutout on Black Plaque;PS8632;p-7999-frosted-acrylic-ar-state-cutout-on-black-plaque;CD953AR;CD953AR;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8632
ESPERA_CODIGO;Frosted Acrylic AZ State Cutout on Black Plaque;PS8633;p-8000-frosted-acrylic-az-state-cutout-on-black-plaque;CD953AZ;CD953AZ;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8633
ESPERA_CODIGO;Frosted Acrylic CO State Cutout on Black Plaque;PS8635;p-8002-frosted-acrylic-co-state-cutout-on-black-plaque;CD953CO;CD953CO;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8635
ESPERA_CODIGO;Frosted Acrylic CT State Cutout on Black Plaque;PS8636;p-8003-frosted-acrylic-ct-state-cutout-on-black-plaque;CD953CT;CD953CT;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8636
ESPERA_CODIGO;Frosted Acrylic GA State Cutout on Black Plaque;PS8640;p-8006-frosted-acrylic-ga-state-cutout-on-black-plaque;CD953GA;CD953GA;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8640
ESPERA_CODIGO;Frosted Acrylic IA State Cutout on Black Plaque;PS8642;p-8008-frosted-acrylic-ia-state-cutout-on-black-plaque;CD953IA;CD953IA;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8642
ESPERA_CODIGO;Frosted Acrylic IL State Cutout on Black Plaque;PS8644;p-8010-frosted-acrylic-il-state-cutout-on-black-plaque;CD953IL;CD953IL;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8644
ESPERA_CODIGO;Frosted Acrylic IN State Cutout on Black Plaque;PS8645;p-8011-frosted-acrylic-in-state-cutout-on-black-plaque;CD953IN;CD953IN;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8645
ESPERA_CODIGO;Frosted Acrylic KS State Cutout on Black Plaque;PS8646;p-8012-frosted-acrylic-ks-state-cutout-on-black-plaque;CD953KS;CD953KS;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8646
ESPERA_CODIGO;Frosted Acrylic KY State Cutout on Black Plaque;PS8647;p-8013-frosted-acrylic-ky-state-cutout-on-black-plaque;CD953KY;CD953KY;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8647
ESPERA_CODIGO;Frosted Acrylic LA State Cutout on Black Plaque;PS8648;p-8014-frosted-acrylic-la-state-cutout-on-black-plaque;CD953LA;CD953LA;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8648
ESPERA_CODIGO;Frosted Acrylic ME State Cutout on Black Plaque;PS8651;p-8017-frosted-acrylic-me-state-cutout-on-black-plaque;CD953ME;CD953ME;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8651
ESPERA_CODIGO;Frosted Acrylic MN State Cutout on Black Plaque;PS8653;p-8019-frosted-acrylic-mn-state-cutout-on-black-plaque;CD953MN;CD953MN;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8653
ESPERA_CODIGO;Frosted Acrylic MO State Cutout on Black Plaque;PS8654;p-8020-frosted-acrylic-mo-state-cutout-on-black-plaque;CD953MO;CD953MO;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8654
ESPERA_CODIGO;Frosted Acrylic MS State Cutout on Black Plaque;PS8655;p-8021-frosted-acrylic-ms-state-cutout-on-black-plaque;CD953MS;CD953MS;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8655
ESPERA_CODIGO;Frosted Acrylic MT State Cutout on Black Plaque;PS8656;p-8022-frosted-acrylic-mt-state-cutout-on-black-plaque;CD953MT;CD953MT;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8656
ESPERA_CODIGO;Frosted Acrylic ND State Cutout on Black Plaque;PS8658;p-8024-frosted-acrylic-nd-state-cutout-on-black-plaque;CD953ND;CD953ND;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8658
ESPERA_CODIGO;Frosted Acrylic NE State Cutout on Black Plaque;PS8659;p-8025-frosted-acrylic-ne-state-cutout-on-black-plaque;CD953NE;CD953NE;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8659
ESPERA_CODIGO;Frosted Acrylic NH State Cutout on Black Plaque;PS8660;p-8026-frosted-acrylic-nh-state-cutout-on-black-plaque;CD953NH;CD953NH;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8660
ESPERA_CODIGO;Frosted Acrylic NJ State Cutout on Black Plaque;PS8661;p-8027-frosted-acrylic-nj-state-cutout-on-black-plaque;CD953NJ;CD953NJ;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8661
ESPERA_CODIGO;Frosted Acrylic NM State Cutout on Black Plaque;PS8662;p-8028-frosted-acrylic-nm-state-cutout-on-black-plaque;CD953NM;CD953NM;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8662
ESPERA_CODIGO;Frosted Acrylic NV State Cutout on Black Plaque;PS8663;p-8029-frosted-acrylic-nv-state-cutout-on-black-plaque;CD953NV;CD953NV;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8663
ESPERA_CODIGO;Frosted Acrylic NY State Cutout on Black Plaque;PS8664;p-8030-frosted-acrylic-ny-state-cutout-on-black-plaque;CD953NY;CD953NY;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8664
ESPERA_CODIGO;Frosted Acrylic OH State Cutout on Black Plaque;PS8665;p-8031-frosted-acrylic-oh-state-cutout-on-black-plaque;CD953OH;CD953OH;la unión alcanzaría ids de otro producto (CD953*);;https://admin.shopify.com/store/trophy-partner/products?query=PS8665
