Handle,Command,Metafield: custom.ps_product_id [single_line_text_field],Metafield: custom.ps_product_ids [list.single_line_text_field]
p-8692-14-oz-pilsner-tumbler,MERGE,CM717*,CM717*
p-8693-20-oz-pilsner-tumbler,MERGE,CM716*,CM716*
p-5374-anniversary-achievement-years-of-service-awards,MERGE,CD903Y_,CD903Y_
p-7842-anniversary-service-recognition-awards,MERGE,CD981Y*,CD981Y*
p-5375-anniversary-years-of-service-achievement-plaque,MERGE,CD902Y*,CD902Y*
p-5376-anniversary-years-of-service-freestanding-award,MERGE,CD904BY*,CD904BY*
p-8725-canvas-portfolio-with-leatherette-accent,MERGE,CM720A,"CM720A,CM720B"
p-7945-cosmopolitan-plaque-large,MERGE,CD1096*,"CD1096*,CD1097*"
p-7944-cosmopolitan-plaque-small,MERGE,CD1095*,CD1095*
p-7947-crescent-interlock-perpetual-award,MERGE,CD909*,CD909*
p-8737-crossroads-horizontal-award,MERGE,CD1040A,"CD1040A,CD1040B"
p-8738-crossroads-vertical-award,MERGE,CD1045,CD1045
p-7963-crystal-golfer-tower-award,MERGE,GM690,GM690
p-8670-crystal-triangular-stackable-add,MERGE,GI836,GI836
p-8671-engraved-leatherette-jewelry-box,MERGE,CM824,CM824
p-8672-engraved-leatherette-wallet-wstrap,MERGE,CM826,CM826
p-9434-interlocking-perpetual-award-bars,MERGE,CD908RL,"CD908RL,CD908RR"
p-8785-leatherette-card-and-dice-set,MERGE,CM371,CM371
p-8788-leatherette-dice-cup-set,MERGE,CM370,CM370
p-8798-leatherette-luggage-tag-large,MERGE,CM295*,CM295*
p-8801-leatherette-money-clipcard-holder,MERGE,CM246,CM246
p-8802-leatherette-mouse-pad,MERGE,CM452,CM452
p-8828-leatherette-picture-frame,MERGE,CM248A*,"CM248A*,CM248B*"
p-8812-leatherette-poker-set,MERGE,CM335,CM335
p-8816-leatherette-rectangle-keychain-large,MERGE,CM245*,CM245*
p-8823-leatherette-wiereless-phone-charging-mat-with-usb-cord,MERGE,CM718,CM718
p-8826-leatherette-wine-box,MERGE,CM425,CM425
p-8675-luminous-pinnacle-award,MERGE,CD1258,CD1258
p-8677-open-pinnacle-award,MERGE,CD1259,CD1259
p-8127-orbital-metal-golfer-award,MERGE,GM691,GM691
p-8131-perpetual-corporate-cup,MERGE,CM810*,CM810*
p-8130-perpetual-corporate-cup-with-perpetual-plates,MERGE,CM810EZ*,CM810EZ*
p-8852-powder-coated-travel-water-bottle,MERGE,CM817*,"CM817*,CM818*"
p-8866-sedona-ridge-plaque,MERGE,CD916A*,"CD916A*,CD916B*"
p-8868-sedona-ridge-tablet-award,MERGE,CD915A,"CD915A,CD915B,CD915C"
p-6238-silver-architectural-metal-swirl-wall-plaque,MERGE,CD434*,"CD434*,CD435*,CD436*"
p-8875-small-digi,MERGE,CD547AA,CD547AA
p-8888-tahoe-tumbler-powder-coated-beverage-can-holder,MERGE,CM813,CM813
p-8689-two-level-years-of-service-award,MERGE,CD1260,CD1260
