grupo;revisar_a_mano;motivo;titulo;sku_legacy;ps_product_ids;detalle;pista;titulo_duplicado;admin;handle
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;1 Year Anniversary Service Award Freestanding;PS8013;CD929AY1G CD929AY1S;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS8013;p-7794-1-year-anniversary-service-award-freestanding
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;1-Year Anniversary Freestanding Trophy;PS8030;CD1235AY1 CD1236AY1B CD1236AY1G CD1236AY1R;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS8030;p-7803-1-year-anniversary-freestanding-trophy
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;10 Year Anniversary Freestanding Service Award;PS8014;CD929BY10G CD929BY10S;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS8014;p-7795-10-year-anniversary-freestanding-service-award
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;10-Year Anniversary Freestanding Trophy;PS8015;CD1235BY10 CD1236BY10B CD1236BY10G CD1236BY10R;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS8015;p-7796-10-year-anniversary-freestanding-trophy
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;11 oz. Black Coffee Mug;PS6007;CM701-02 CM701-05 CM701-89;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS6007;p-5325-11-oz-black-coffee-mug
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;11 oz. Black Mug;PS6003;CM700-05;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS6003;p-5321-11-oz-black-mug
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;11 oz. Blue Mug;PS6004;CM700-14;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS6004;p-5322-11-oz-blue-mug
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;11 oz. Green Mug;PS6005;CM700-67;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS6005;p-5323-11-oz-green-mug
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;11 oz. Grey Mug;PS6006;CM700-08;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS6006;p-5324-11-oz-grey-mug
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;14 oz. Ceramic Mug;PS6010;CM702-06;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS6010;p-5328-14-oz-ceramic-mug
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;15 Year Anniversary Freestanding Award;PS8027;CD929BY15G CD929BY15S;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS8027;p-7800-15-year-anniversary-freestanding-award
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;15-Year Anniversary Freestanding Trophy;PS8028;CD1235BY15 CD1236BY15B CD1236BY15G CD1236BY15R;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS8028;p-7801-15-year-anniversary-freestanding-trophy
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;16 oz. Pilsner Glass;PS9621;G0993;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS9621;p-8658-16-oz-pilsner-glass
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;2 Year Anniversary Freestanding;PS8031;CD929AY2G CD929AY2S;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS8031;p-7804-2-year-anniversary-freestanding
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;2-Year Anniversary Freestanding Trophy;PS8041;CD1235AY2 CD1236AY2B CD1236AY2G CD1236AY2R;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS8041;p-7810-2-year-anniversary-freestanding-trophy
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;20 Year Anniversary Freestanding Award;PS8033;CD929BY20G CD929BY20S;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS8033;p-7806-20-year-anniversary-freestanding-award
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;20-Year Anniversary Freestanding Award Trophy;PS8034;CD1235BY20 CD1236BY20B CD1236BY20G CD1236BY20R;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS8034;p-7807-20-year-anniversary-freestanding-award-trophy
1;sí;Sin rastro en PaceSetter — archivar o buscar el código nuevo;25 Year Anniversary Freestanding Award;PS8035;CD929BY25G CD929BY25S;;;;https://admin.shopify.com/store/trophy-partner/products?query=PS8035;p-7808-25-year-anniversary-freestanding-award
