supplier_id;kind;paceSetter_line;name;part_of;claimed_by
AE700;ORPHAN;AE700;;;p-6280-soaring-excellence-gold-eagle-award-trophy
AE710;ORPHAN;AE710;;;p-6280-soaring-excellence-gold-eagle-award-trophy
AE720;ORPHAN;AE720;;;p-6280-soaring-excellence-gold-eagle-award-trophy
C021ABEF;PART;C021A;;C021A;p-5713-ebony-finish-plaque-with-marble-mist-large
C021ABWF;PART;C021A;;C021A;p-8899-walnut-finish-plaque-with-marble-mist-plate
C021AGEF;PART;C021A;;C021A;p-5713-ebony-finish-plaque-with-marble-mist-large
C021AGWF;PART;C021A;;C021A;p-8899-walnut-finish-plaque-with-marble-mist-plate
C021AREF;PART;C021A;;C021A;p-5713-ebony-finish-plaque-with-marble-mist-large
C021ARWF;PART;C021A;;C021A;p-8899-walnut-finish-plaque-with-marble-mist-plate
C021BBEF;PART;C021B;;C021B;p-5712-ebony-finish-plaque-with-marble-mist-small
C021BBWF;PART;C021B;;C021B;p-8899-walnut-finish-plaque-with-marble-mist-plate
C021BGEF;PART;C021B;;C021B;p-5712-ebony-finish-plaque-with-marble-mist-small
C021BGWF;PART;C021B;;C021B;p-8899-walnut-finish-plaque-with-marble-mist-plate
C021BREF;PART;C021B;;C021B;p-5712-ebony-finish-plaque-with-marble-mist-small
C021BRWF;PART;C021B;;C021B;p-8899-walnut-finish-plaque-with-marble-mist-plate
C023AB;PART;C023;;C023;p-5511-blue-plaque-w-marble-mist-large
C023AGR;PART;C023;;C023;p-8845-plaque-w-green-marble-mist
C023AR;PART;C023;;C023;p-6206-red-plaque-with-marble-mist-large
C023BB;PART;C023;;C023;p-5510-blue-plaque-w-marble-mist-small
C023BGR;PART;C023;;C023;p-8758-genuine-walnut-elliptical-plaque-with-marble-mist
C023BR;PART;C023;;C023;p-6205-red-plaque-w-marble-mist-small
C031AB;ORPHAN;C031AB;;;p-5477-blue-barrel-plaque-w-marble-mist-large
C031AG;ORPHAN;C031AG;;;p-5867-genuine-walnut-barrel-large
C031AR;ORPHAN;C031AR;;;p-6195-red-barrel-plaque-with-marble-mist-plate
C031BB;ORPHAN;C031BB;;;p-5476-blue-barrel-plaque-w-marble-mist-small
C031BG;ORPHAN;C031BG;;;p-5866-genuine-walnut-barrel-plaque
C031BR;ORPHAN;C031BR;;;p-6194-red-barrel-plaque-w-marble-mist-small
C0556;PRODUCT;C0556;Silver Tone Star Paperweight (FREE Setup - Text only);;p-6253-silver-tone-star-paperweight
C0557;ORPHAN;C0557;;;p-5902-gold-tone-star-paperweight
C0610;PRODUCT;C0610;Small Blue Dynasty Award;;p-5704-dynasty-collection-blue-award
C0611;PRODUCT;C0611;Large Blue Dynasty Award;;p-5491-blue-dynasty-award
C0613;PRODUCT;C0613;Small Blue Dynasty Award with Clear Lucite Base;;p-5475-blue-award-with-clear-lucite-base
C0614;PRODUCT;C0614;Large Blue Dynasty Award with Clear Lucite Base;;p-5475-blue-award-with-clear-lucite-base
C0627;ORPHAN;C0627;;;p-6225-rosewood-piano-finish-star-paperweight
C0632;ORPHAN;C0632;;;p-6284-star-gold-trophy-on-rosewood-piano
C0633;ORPHAN;C0633;;;p-6287-stars-silver-trophy-on-rosewood-piano
C0642G;PART;C0642;;C0642;p-5899-gold-star-self-standing-plaque
C0642S;PART;C0642;;C0642;p-6249-silver-star-self-standing-plaque
C071AASWF;ORPHAN;C071AASWF;;;p-7993-florentine-edge-plate-on-walnut-finish-board
C071AGOEF;PART;C071A;;C071A;p-5737-florentine-gold-edge-plate-on-ebony-board
C071AGOWF;PART;C071A;;C071A;p-6329-walnut-finish-plaque-with-black-florentine-plate
