verdict;supplier_id;kind;name;paceSetter_line;related_store_products
ABSORBED;CA21AXB;PRODUCT;Sculptured Lucite Star - Small;CA21AX*;p-5901-gold-star-power-sculptured-lucite-award p-5610-clear-star-power-sculptured-lucite-award
ABSORBED;CA21BXB;PRODUCT;Sculptured Lucite Star - Medium;CA21BX*;p-5901-gold-star-power-sculptured-lucite-award p-5610-clear-star-power-sculptured-lucite-award
ABSORBED;CA21CXB;PRODUCT;Sculptured Lucite Star - Large;CA21CX*;p-5900-gold-star-power-sculptured-lucite-small p-5609-clear-star-power-sculptured-lucite-large
ABSORBED;CM297BB;PRODUCT;Zipper Leatherette Portfolio;CM297*;p-8905-zipper-leatherette-portfolio
ABSORBED;CM297WM;PRODUCT;Zipper Leatherette Portfolio;CM297*;p-8905-zipper-leatherette-portfolio
ABSORBED;CM373BB;PRODUCT;Leatherette Shot Glass, Bamboo;CM373*;p-8807-leatherette-on-steel-shot-glass
ABSORBED;CM373WM;PRODUCT;Leatherette Shot Glass, White Marble;CM373*;p-8807-leatherette-on-steel-shot-glass
ABSORBED;DCC3001DEB;PRODUCT;Choice of Digi-Color Plate on Economy Board;DCC3001D*;p-6327-walnut-finish-plaque-w-choice-of-plate-board
ABSORBED;DCC3001EEB;PRODUCT;Choice of Digi-Color Plate on Economy Board;DCC3001E*;p-6327-walnut-finish-plaque-w-choice-of-plate-board
ABSORBED;GI311BARK;PRODUCT;Blue Glass Bar with Silver Color-Fill (Includes FREE Text Set-up);GI311BAR;p-5498-blue-glass-bar-with-silver-color
ABSORBED;GI606BARB;PRODUCT;Glass Bar with Silver Color-Fill (Includes FREE Sandblast Text Set-up);GI606BAR*;p-5434-black-or-blue-glass-perpetual-bar-with-silver-color
DUPLICATE_RISK;C021A;PRODUCT;Ebony Finish Plaque with Marble Mist;C021A;p-5713-ebony-finish-plaque-with-marble-mist-large p-8899-walnut-finish-plaque-with-marble-mist-plate p-8899-walnut-finish-plaque-with-marble-mist-plate p-5713-ebony-finish-plaque-with-marble-mist-large
DUPLICATE_RISK;C021B;PRODUCT;Ebony Finish Plaque with Marble Mist;C021B;p-5712-ebony-finish-plaque-with-marble-mist-small p-8899-walnut-finish-plaque-with-marble-mist-plate p-8899-walnut-finish-plaque-with-marble-mist-plate p-5712-ebony-finish-plaque-with-marble-mist-small
