estado;handle;titulo;ps_product_ids;que_hace_falta;admin
ESPERA_CODIGO;p-5546-carved-clear-crystal-on-black-base-with-compass-medallion;Carved Clear Crystal on Black Base with Compass Medallion;GI583M;la unión alcanzaría ids de otro producto (GI583M);https://admin.shopify.com/store/trophy-partner/products?query=PS6228
ESPERA_CODIGO;p-5609-clear-star-power-sculptured-lucite-large;Clear Star Power Sculptured Lucite Large;CA21CXC;la unión alcanzaría ids de otro producto (CA21CX*);https://admin.shopify.com/store/trophy-partner/products?query=PS6291
ESPERA_CODIGO;p-5610-clear-star-power-sculptured-lucite-award;Clear Star Power Sculptured Lucite Award;CA21AXC CA21BXC;la unión alcanzaría ids de otro producto (CA21AX* CA21BX*);https://admin.shopify.com/store/trophy-partner/products?query=PS6292
ESPERA_CODIGO;p-5617-cork-beverage-holder;Cork Beverage Holder;CM289CK;la unión alcanzaría ids de otro producto (CM289*);https://admin.shopify.com/store/trophy-partner/products?query=PS6299
ESPERA_CODIGO;p-5620-cork-flask;Cork Flask;CM286CK;la unión alcanzaría ids de otro producto (CM286*);https://admin.shopify.com/store/trophy-partner/products?query=PS6302
ESPERA_CODIGO;p-5678-large-rectangular-custom-digi-color-lucite-award;Large Rectangular Custom Digi Color Lucite Award;DCCD424ACU DCCD424BCU;la unión alcanzaría ids de otro producto (DCCD424** DCCD424B);https://admin.shopify.com/store/trophy-partner/products?query=PS6360
ESPERA_CODIGO;p-5753-freestanding-lucite-block;Freestanding Lucite Block;CD549B C0812A CD549C C0813A C0812B C0813B C0812C;la unión alcanzaría ids de otro producto (C0813A C0813B);https://admin.shopify.com/store/trophy-partner/products?query=PS6435
ESPERA_CODIGO;p-5805-alaska-state-silhouette-awards;Alaska State Silhouette Awards;CD900AK;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6487
ESPERA_CODIGO;p-5806-alabama-state-silhouette-awards;Alabama State Silhouette Awards;CD900AL;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6488
ESPERA_CODIGO;p-5807-arkansas-state-silhouette-awards;Arkansas State Silhouette Awards;CD900AR;la unión alcanzaría ids de otro producto (CD900*);https://admin.shopify.com/store/trophy-partner/products?query=PS6489
