id_en_conflicto;handle;titulo;ps_product_id;sincronizado;variantes;reclamado_tambien_por;ps_product_ids_actual
CD267A;p-5341-lucite-wall-plaque-with-custom-digi-color-print;Lucite Wall Plaque with Custom Digi-Color Print;CD266A;no;1;p-7813-38-thick-custom-digi-large;CD266A CD267A
CA21CXB;p-5516-blue-star-power-sculptured-lucite-award-trophy;Blue Star Power Sculptured Lucite Award Trophy;CA21CXB;no;1;p-5900-gold-star-power-sculptured-lucite-small | p-5517-blue-star-power-sculptured-lucite-award;CA21CXB
CA21AXB;p-5517-blue-star-power-sculptured-lucite-award;Blue Star Power Sculptured Lucite Award;CA21AXB;no;1;p-5901-gold-star-power-sculptured-lucite-award;CA21AXB CA21BXB CA21CXB
CA21BXB;p-5517-blue-star-power-sculptured-lucite-award;Blue Star Power Sculptured Lucite Award;CA21AXB;no;1;p-5901-gold-star-power-sculptured-lucite-award;CA21AXB CA21BXB CA21CXB
CA21CXB;p-5517-blue-star-power-sculptured-lucite-award;Blue Star Power Sculptured Lucite Award;CA21AXB;no;1;p-5900-gold-star-power-sculptured-lucite-small | p-5516-blue-star-power-sculptured-lucite-award-trophy;CA21AXB CA21BXB CA21CXB
CA21CXC;p-5609-clear-star-power-sculptured-lucite-large;Clear Star Power Sculptured Lucite Large;CA21CXC;no;1;p-5900-gold-star-power-sculptured-lucite-small;CA21CXC
CA21AXC;p-5610-clear-star-power-sculptured-lucite-award;Clear Star Power Sculptured Lucite Award;CA21AXC;no;1;p-5901-gold-star-power-sculptured-lucite-award;CA21AXC CA21BXC
CA21BXC;p-5610-clear-star-power-sculptured-lucite-award;Clear Star Power Sculptured Lucite Award;CA21AXC;no;1;p-5901-gold-star-power-sculptured-lucite-award;CA21AXC CA21BXC
CM289CK;p-5617-cork-beverage-holder;Cork Beverage Holder;CM289CK;no;1;p-8781-leatherette-beverage-holder-large;CM289CK
CM286CK;p-5620-cork-flask;Cork Flask;CM286CK;no;1;p-8793-leatherette-flask;CM286CK
DCCD424ACU;p-5678-large-rectangular-custom-digi-color-lucite-award;Large Rectangular Custom Digi Color Lucite Award;DCCD424ACU;no;1;p-8160-rectangular-digi-color-lucite-ribbon-award;DCCD424ACU DCCD424BCU
GI602BK;p-5681-deco-clear-glass-with-black-glass-accents;Deco Clear Glass with Black Glass Accents;GI602BK;no;1;p-8750-deco-clear-glass-with-blue-glass-accents;GI602BK
GI665B;p-5694-crystal-faceted-block-tower-award;Crystal Faceted Block Tower Award;GI665B;no;1;p-7978-diamond-towers-crystal-faceted-block-award;GI665B GI665C
GI665C;p-5694-crystal-faceted-block-tower-award;Crystal Faceted Block Tower Award;GI665B;no;1;p-7978-diamond-towers-crystal-faceted-block-award;GI665B GI665C
CD900AK;p-5805-alaska-state-silhouette-awards;Alaska State Silhouette Awards;CD900AK;no;1;p-7115-frosted-lucite-star-cutout-on-risers-award;CD900AK
CD900AL;p-5806-alabama-state-silhouette-awards;Alabama State Silhouette Awards;CD900AL;no;1;p-7115-frosted-lucite-star-cutout-on-risers-award;CD900AL
CD900AR;p-5807-arkansas-state-silhouette-awards;Arkansas State Silhouette Awards;CD900AR;no;1;p-7115-frosted-lucite-star-cutout-on-risers-award;CD900AR
CD900AZ;p-5808-arizona-state-silhouette-awards;Arizona State Silhouette Awards;CD900AZ;no;1;p-7115-frosted-lucite-star-cutout-on-risers-award;CD900AZ
CD900CA;p-5809-california-state-silhouette-awards;California State Silhouette Awards;CD900CA;no;1;p-7115-frosted-lucite-star-cutout-on-risers-award;CD900CA
CD900CO;p-5810-colorado-state-silhouette-awards;Colorado State Silhouette Awards;CD900CO;no;1;p-7115-frosted-lucite-star-cutout-on-risers-award;CD900CO
CD900CT;p-5811-connecticut-state-silhouette-awards;Connecticut State Silhouette Awards;CD900CT;no;1;p-7115-frosted-lucite-star-cutout-on-risers-award;CD900CT
